school_year,vacation_type,start_date,end_date,is_active,assumption_level,source_note,notes
2022_2023,autumn,2022-10-24,2022-10-30,1,default,Default national assumption,
2022_2023,winter,2022-12-26,2023-01-08,1,default,Default national assumption,
2022_2023,spring,2023-03-27,2023-04-02,1,default,Default national assumption,
2023_2024,autumn,2023-10-23,2023-10-29,1,default,Default national assumption,
2023_2024,winter,2023-12-25,2024-01-07,1,default,Default national assumption,
2023_2024,spring,2024-03-25,2024-03-31,1,default,Default national assumption,
2024_2025,autumn,2024-10-28,2024-11-03,1,default,Default national assumption,
2024_2025,winter,2024-12-30,2025-01-10,1,default,Default national assumption,
2024_2025,spring,2025-03-24,2025-03-30,1,default,Default national assumption,
2025_2026,autumn,2025-10-27,2025-11-02,1,default,Default national assumption,
2025_2026,winter,2025-12-27,2026-01-11,1,default,Default national assumption,
2025_2026,spring,2026-03-23,2026-03-29,1,default,Default national assumption,
