oblast_id,oblast_name,adm1_id,has_adm1_geometry
UA01,Автономна Республіка Крим,43,1
UA05,Вінницька область,05,1
UA07,Волинська область,07,1
UA12,Дніпропетровська область,12,1
UA14,Донецька область,14,1
UA18,Житомирська область,18,1
UA21,Закарпатська область,21,1
UA23,Запорізька область,23,1
UA26,Івано-Франківська область,26,1
UA32,Київська область,32,1
UA35,Кіровоградська область,35,1
UA44,Луганська область,09,1
UA46,Львівська область,46,1
UA48,Миколаївська область,48,1
UA51,Одеська область,51,1
UA53,Полтавська область,53,1
UA56,Рівненська область,56,1
UA59,Сумська область,59,1
UA61,Тернопільська область,61,1
UA63,Харківська область,63,1
UA65,Херсонська область,65,1
UA68,Хмельницька область,68,1
UA71,Черкаська область,71,1
UA73,Чернівецька область,77,1
UA74,Чернігівська область,74,1
UA80,м. Київ,30,1
UA85,м. Севастополь,40,1
