oblast_id,oblast_name
UA01,Автономна Республіка Крим
UA05,Вінницька область
UA07,Волинська область
UA12,Дніпропетровська область
UA14,Донецька область
UA18,Житомирська область
UA21,Закарпатська область
UA23,Запорізька область
UA26,Івано-Франківська область
UA32,Київська область
UA35,Кіровоградська область
UA44,Луганська область
UA46,Львівська область
UA48,Миколаївська область
UA51,Одеська область
UA53,Полтавська область
UA56,Рівненська область
UA59,Сумська область
UA61,Тернопільська область
UA63,Харківська область
UA65,Херсонська область
UA68,Хмельницька область
UA71,Черкаська область
UA73,Чернівецька область
UA74,Чернігівська область
UA80,м. Київ
