oblast_id,raion_id,raion_name
UA01,UA0102,Бахчисарайський район
UA01,UA0104,Білогірський район
UA01,UA0106,Джанкойський район
UA01,UA0108,Євпаторійський район
UA01,UA0110,Керченський район
UA01,UA0112,Курманський район
UA01,UA0114,Перекопський район
UA01,UA0116,Сімферопольський район
UA01,UA0118,Феодосійський район
UA01,UA0120,Ялтинський район
UA05,UA0502,Вінницький район
UA05,UA0504,Гайсинський район
UA05,UA0506,Жмеринський район
UA05,UA0508,Могилів-Подільський район
UA05,UA0510,Тульчинський район
UA05,UA0512,Хмільницький район
UA07,UA0702,Володимирський район
UA07,UA0704,Камінь-Каширський район
UA07,UA0706,Ковельський район
UA07,UA0708,Луцький район
UA12,UA1202,Дніпровський район
UA12,UA1204,Кам’янський район
UA12,UA1206,Криворізький район
UA12,UA1208,Нікопольський район
UA12,UA1210,Новомосковський район
UA12,UA1212,Павлоградський район
UA12,UA1214,Синельниківський район
UA14,UA1402,Бахмутський район
UA14,UA1404,Волноваський район
UA14,UA1406,Горлівський район
UA14,UA1408,Донецький район
UA14,UA1410,Кальміуський район
UA14,UA1412,Краматорський район
UA14,UA1414,Маріупольський район
UA14,UA1416,Покровський район
UA18,UA1802,Бердичівський район
UA18,UA1804,Житомирський район
UA18,UA1806,Коростенський район
UA18,UA1808,Звягельський район
UA21,UA2102,Берегівський район
UA21,UA2104,Мукачівський район
UA21,UA2106,Рахівський район
UA21,UA2108,Тячівський район
UA21,UA2110,Ужгородський район
UA21,UA2112,Хустський район
UA23,UA2302,Бердянський район
UA23,UA2304,Василівський район
UA23,UA2306,Запорізький район
UA23,UA2308,Мелітопольський район
UA23,UA2310,Пологівський район
UA26,UA2602,Верховинський район
UA26,UA2604,Івано-Франківський район
UA26,UA2606,Калуський район
UA26,UA2608,Коломийський район
UA26,UA2610,Косівський район
UA26,UA2612,Надвірнянський район
UA32,UA3202,Білоцерківський район
UA32,UA3204,Бориспільський район
UA32,UA3206,Броварський район
UA32,UA3208,Бучанський район
UA32,UA3210,Вишгородський район
UA32,UA3212,Обухівський район
UA32,UA3214,Фастівський район
UA35,UA3502,Голованівський район
UA35,UA3504,Кропивницький район
UA35,UA3506,Новоукраїнський район
UA35,UA3508,Олександрійський район
UA44,UA4402,Алчевський район
UA44,UA4404,Довжанський район
UA44,UA4406,Луганський район
UA44,UA4408,Ровеньківський район
UA44,UA4410,Сватівський район
UA44,UA4412,Сєвєродонецький район
UA44,UA4414,Старобільський район
UA44,UA4416,Щастинський район
UA46,UA4602,Дрогобицький район
UA46,UA4604,Золочівський район
UA46,UA4606,Львівський район
UA46,UA4608,Самбірський район
UA46,UA4610,Стрийський район
UA46,UA4612,Червоноградський район
UA46,UA4614,Яворівський район
UA48,UA4802,Баштанський район
UA48,UA4804,Вознесенський район
UA48,UA4806,Миколаївський район
UA48,UA4808,Первомайський район
UA51,UA5102,Березівський район
UA51,UA5104,Білгород-Дністровський район
UA51,UA5106,Болградський район
UA51,UA5108,Ізмаїльський район
UA51,UA5110,Одеський район
UA51,UA5112,Подільський район
UA51,UA5114,Роздільнянський район
UA53,UA5302,Кременчуцький район
UA53,UA5304,Лубенський район
UA53,UA5306,Миргородський район
UA53,UA5308,Полтавський район
UA56,UA5602,Вараський район
UA56,UA5604,Дубенський район
UA56,UA5606,Рівненський район
UA56,UA5608,Сарненський район
UA59,UA5902,Конотопський район
UA59,UA5904,Охтирський район
UA59,UA5906,Роменський район
UA59,UA5908,Сумський район
UA59,UA5910,Шосткинський район
UA61,UA6102,Кременецький район
UA61,UA6104,Тернопільський район
UA61,UA6106,Чортківський район
UA63,UA6302,Богодухівський район
UA63,UA6304,Ізюмський район
UA63,UA6306,Красноградський район
UA63,UA6308,Куп’янський район
UA63,UA6310,Лозівський район
UA63,UA6312,Харківський район
UA63,UA6314,Чугуївський район
UA65,UA6502,Бериславський район
UA65,UA6504,Генічеський район
UA65,UA6506,Каховський район
UA65,UA6508,Скадовський район
UA65,UA6510,Херсонський район
UA68,UA6802,Кам’янець-Подільський район
UA68,UA6804,Хмельницький район
UA68,UA6806,Шепетівський район
UA71,UA7102,Звенигородський район
UA71,UA7104,Золотоніський район
UA71,UA7106,Уманський район
UA71,UA7108,Черкаський район
UA73,UA7302,Вижницький район
UA73,UA7304,Дністровський район
UA73,UA7306,Чернівецький район
UA74,UA7402,Корюківський район
UA74,UA7404,Ніжинський район
UA74,UA7406,Новгород-Сіверський район
UA74,UA7408,Прилуцький район
UA74,UA7410,Чернігівський район
